,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,priorityWdid,priorityStructure
1784,2011-08-09T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500732,R F DITCH
1785,2011-08-10T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500732,R F DITCH
1786,2011-08-11T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500732,R F DITCH
1787,2011-08-12T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500732,R F DITCH
1788,2011-08-13T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500732,R F DITCH
1789,2011-08-13T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500570,DOBEY DITCH
1790,2011-08-14T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500570,DOBEY DITCH
1791,2011-08-15T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,66.7,4500514,BATTLEMENT DITCH
1792,2011-08-15T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,33.3,4500570,DOBEY DITCH
1793,2011-08-16T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1794,2011-08-17T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
1795,2011-08-18T00:00:00.0000000,4503575,BATTLEMENT NO 4 RES,100.0,4500514,BATTLEMENT DITCH
