WDID,Stream Mile,Adjudication Date,Priority Admin No,Net Absolute,Latitude,Longitude,Lines
3704049,5.43,12/31/02,55694,522720,39.59116,-106.963722,6117
3704050,5.44,12/31/02,55694,522720,39.590555,-106.961112,6117
3704051,5.75,12/31/02,55694,1520244,39.588973,-106.952027,6117
3704052,5.75,12/31/02,55694,701316,39.588979,-106.952059,6117
3804335,6.39,12/31/02,55694,3049.2,39.127233,-106.847788,6117
3803548,9.37,12/31/02,55671,65340,39.46931,-107.136377,6117
7203719,2.22,12/31/02,55669,43560,39.263015,-107.957402,6117
3804378,0.74,12/31/02,55668,6098.4,39.276216,-106.879667,6117
3804379,0.74,12/31/02,55668,26571.6,39.276185,-106.880194,6117
7203545,47.27,12/31/02,55517.55456,43560,39.058339,-108.427266,6117
7203722,6.13,12/31/02,55517.55426,100188,39.169952,-108.602155,6117
7203549,22.4,12/31/02,55517.55336,304920,39.169953,-108.776369,6117
7003520,7.61,12/31/02,55517.54587,871200,39.421461,-108.43627,6117
7003521,7.61,12/31/02,55517.54587,871200,39.415275,-108.467288,6117
7003522,7.61,12/31/02,55517.54587,87120,39.426187,-108.517804,6117
3903593,0.17,12/31/02,55517.54477,65340,39.603191,-107.444375,6117
7003518,7.61,12/31/02,55517.54252,871200,39.414523,-108.47964,6117
7003516,7.61,12/31/02,55517.54238,653400,39.413277,-108.412441,6117
7003517,7.61,12/31/02,55517.54222,108900,39.419076,-108.426433,6117
7203715,33.18,12/31/02,55517.5413,87120,39.152127,-108.611488,6117
7203531,32.22,12/31/02,55517.53539,43560,39.093297,-108.677388,6117
7203532,32.25,12/31/02,55517.53539,69696,39.093051,-108.67542,6117
7003519,7.61,12/31/02,55517.53478,261360,39.4256,-108.515902,6117
4503590,6.19,12/31/02,55517.52776,4356,39.48919,-107.663986,6117
4503591,6.19,12/31/02,55517.52776,21780,39.489597,-107.662635,6117
3804130,1.93,12/31/02,55517.52686,102801.6,39.293357,-107.017582,6117
3804380,0.47,12/31/02,55517.5223,5227.2,39.276555,-106.884026,6117
7203536,21.88,12/31/02,55517.51768,119354.4,39.166203,-108.797523,6117
