analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
46599.0,20427.18999,3078820.8000000003,0.47,24829.2,3703607,147.54,1250.0,5300584
56978.56884,20427.18999,12099225.6,4.78,97574.4,3703788,147.54,1250.0,5300584
41199.21783,20427.18999,176086944.0,2.92,1420056.0,5303989,147.54,1250.0,5300584
58074.44346,20427.18999,108028800.0,10.76,871200.0,5003665,147.54,1250.0,5300584
38753.35215,20427.18999,347312592.0,7.52,2800908.0,5303999,147.54,1250.0,5300584
50603.0,20427.18999,27007200.0,2.74,217800.0,5203978,147.54,1250.0,5300584
51864.49825,20427.18999,28627632.0,1.22,230868.0,3703804,147.54,1250.0,5300584
35016.0,20427.18999,118831680.0,6.1,958320.0,3603537,147.54,1250.0,5300584
49673.42368,20427.18999,260619480.0,4.08,2101770.0,5003661,147.54,1250.0,5300584
51864.43464,20427.18999,15124032.0,2.9,121968.0,3703747,147.54,1250.0,5300584
35404.0,20427.18999,489694550.40000004,1.68,3949149.6,5303982,147.54,1250.0,5300584
38753.3752,20427.18999,237607725168.0,13.87,1916191332.0,3704516,147.54,1250.0,5300584
58804.53441,20427.18999,540144.0,10.92,4356.0,5303619,147.54,1250.0,5300584
35621.0,20427.18999,1048905633.6,28.73,8458916.4,5303961,147.54,1250.0,5300584
58804.57555,20427.18999,1080288.0,11.42,8712.0,5303621,147.54,1250.0,5300584
46034.0,20427.18999,11072952000.0,19.34,89298000.0,3803875,147.54,1250.0,5300584
50648.0,20427.18999,5401440.0,8.42,43560.0,3703697,147.54,1250.0,5300584
38753.37094,20427.18999,1102433904.0,6.3,8890596.0,3703513,147.54,1250.0,5300584
40922.0,20427.18999,1080288.0,6.59,8712.0,5204014,147.54,1250.0,5300584
58997.0,20427.18999,111600.0,182.06,900.0,5302033,147.54,1250.0,5300584
46020.4479,20427.18999,28033473.599999998,0.6,226076.4,3703601,147.54,1250.0,5300584
35645.0,20427.18999,78861024.0,5.13,635976.0,3603549,147.54,1250.0,5300584
59024.0,20427.18999,70110691.2,1.6,565408.8,3704068,147.54,1250.0,5300584
40937.0,20427.18999,540144.0,8.95,4356.0,5203987,147.54,1250.0,5300584
50726.0,20427.18999,18905040.0,0.31,152460.0,5104060,147.54,1250.0,5300584
35702.0,20427.18999,979983259.1999999,8.55,7903090.8,5203939,147.54,1250.0,5300584
35686.0,20427.18999,1587.2,24.25,12.8,5300621,147.54,1250.0,5300584
41050.0,20427.18999,540144.0,1.0,4356.0,3703855,147.54,1250.0,5300584
41199.1897,20427.18999,120128025.60000001,9.33,968774.4,5303952,147.54,1250.0,5300584
46386.43625,20427.18999,18526939.2,2.12,149410.8,3703603,147.54,1250.0,5300584
46386.32963,20427.18999,27007200.0,0.47,217800.0,3703597,147.54,1250.0,5300584
34762.14397,20427.18999,19121097.599999998,2.77,154202.4,5003640,147.54,1250.0,5300584
41199.20666,20427.18999,56823148.800000004,3.35,458251.2,5303998,147.54,1250.0,5300584
51959.0,20427.18999,13503600.0,1.86,108900.0,3704093,147.54,1250.0,5300584
