analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
3800749,HERRICK DITCH,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.26,65.36,38,61.8,2313.7,72,370.39512000000013
3803691,DOUGLAS POND NO 1,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.26,1.0,38,61.8,2313.7,72,5.6670000000000025
3804268,LITTLE CREEK RANCH POND 2,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.26,5.9,38,61.8,2313.7,72,33.43530000000002
4503621,MEG STOCK WATERING POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.27,0.2,45,61.8,2313.7,72,1.1334000000000006
3804008,WATKINS POND NO 3,3801132,WALTHEN DITCH,27.666999999999998,6.28,0.1,38,0.4,16.2773,38,2.7667
3804007,WATKINS POND NO 2,3801132,WALTHEN DITCH,27.666999999999998,6.29,0.75,38,0.4,16.2773,38,20.750249999999998
3800880,MOUNT SOPRIS DITCH,7200646,GRAND VALLEY PROJECT,5.6670000000000025,6.29,44.1,38,61.8,2313.7,72,249.91470000000012
3800880,MOUNT SOPRIS DITCH,3800858,MARTIN DITCH NO 1,13.0,6.29,44.1,38,3.76,1.33,38,573.3000000000001
3804083,WATKINS POND NO 4,3801132,WALTHEN DITCH,27.666999999999998,6.29,0.98,38,0.4,16.2773,38,27.113659999999996
3703513,CHALK MOUNTAIN RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,6.3,204.1,37,0.85,550.0,51,1020.5
3703513,CHALK MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,6.3,204.1,37,147.54,1408.0,53,27145.3
3703513,CHALK MOUNTAIN RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,6.3,204.1,37,25.36,928.0,51,612.3
5103656,DALE RESERVOIR,5300584,SHOSHONE POWER PLANT,126.0,6.32,24.82,51,147.54,1408.0,53,3127.32
