analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3804075,MIDDLE HENRY POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.33,4.94,38,53.09,940.28,72
3804075,MIDDLE HENRY POND,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.33,4.94,38,45.59,520.0,36
5103659,F W LINKE RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.33,12.68,51,45.59,520.0,36
5103659,F W LINKE RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,8.33,12.68,51,53.09,940.28,72
3804075,MIDDLE HENRY POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.33,4.94,38,15.77,209199.0,36
5103659,F W LINKE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.33,12.68,51,15.77,209199.0,36
5003671,BUCHER POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.35,8.0,50,45.59,520.0,36
5003671,BUCHER POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.35,8.0,50,15.77,209199.0,36
5003671,BUCHER POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.35,8.0,50,53.09,940.28,72
5003671,BUCHER POND,5300584,SHOSHONE POWER PLANT,17.333,8.35,8.0,50,147.54,1408.0,53
7203889,BULL BASIN NO 2 RES,3603543,GREEN MOUNTAIN RESERVOIR,38.062,8.39,96.1,72,15.77,209199.0,36
7203889,BULL BASIN NO 2 RES,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.39,96.1,72,45.59,520.0,36
7203889,BULL BASIN NO 2 RES,7200645,GRAND VALLEY CANAL,30.168000000000003,8.39,96.1,72,53.09,940.28,72
3903954,THOMAS RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.42,17.0,39,45.59,520.0,36
3703697,O'LAUGHLIN POND NO 2,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.42,1.0,37,45.59,520.0,36
3703926,MCKENZIE UPPER POND,3604684,BLUE RIVER DIVERSION PROJECT,17.167,8.42,0.6,37,45.59,520.0,36
3903954,THOMAS RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,8.42,17.0,39,53.09,940.28,72
3703926,MCKENZIE UPPER POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.42,0.6,37,53.09,940.28,72
3703925,MCKENZIE UPPER POND,7200645,GRAND VALLEY CANAL,15.084000000000001,8.42,0.15,37,53.09,940.28,72
3703926,MCKENZIE UPPER POND,5300584,SHOSHONE POWER PLANT,17.333,8.42,0.6,37,147.54,1408.0,53
3703926,MCKENZIE UPPER POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.42,0.6,37,15.77,209199.0,36
